skill_1,skill_2,posting_count,percentage
A/B Testing,Spark,1,4.8
A/B Testing,Statistics,1,4.8
A/B Testing,Tableau,1,4.8
APIs,Classification,1,4.8
APIs,Clustering,1,4.8
APIs,Collaboration,1,4.8
APIs,Data Quality,1,4.8
APIs,Git,1,4.8
APIs,NumPy,1,4.8
APIs,Pandas,1,4.8
APIs,Regression,1,4.8
APIs,SQL,1,4.8
APIs,Scikit-learn,1,4.8
Attention to Detail,Data Pipelines,1,4.8
Attention to Detail,Data Quality,1,4.8
Attention to Detail,Hive,1,4.8
Attention to Detail,MLOps,1,4.8
Attention to Detail,R,1,4.8
Attention to Detail,Spark,1,4.8
Attention to Detail,Statistics,1,4.8
Attention to Detail,Tableau,1,4.8
BigQuery,Collaboration,1,4.8
BigQuery,ETL,1,4.8
BigQuery,Power BI,1,4.8
BigQuery,Statistics,1,4.8
Classification,Clustering,1,4.8
Classification,Collaboration,1,4.8
Classification,NumPy,1,4.8
Classification,Pandas,1,4.8
Classification,Regression,1,4.8
Classification,Scikit-learn,1,4.8
Clustering,Data Quality,1,4.8
Clustering,NumPy,1,4.8
Clustering,Pandas,1,4.8
Clustering,Python,1,4.8
Clustering,Regression,1,4.8
Clustering,SQL,1,4.8
Clustering,Scikit-learn,1,4.8
Clustering,Statistics,1,4.8
Collaboration,Computer Vision,1,4.8
Collaboration,Data Modeling,1,4.8
Collaboration,Databricks,1,4.8
Collaboration,Deep Learning,1,4.8
Collaboration,Forecasting,1,4.8
Collaboration,GIS,1,4.8
Collaboration,Google Sheets,1,4.8
Collaboration,NLP,1,4.8
Collaboration,R,1,4.8
Collaboration,Snowflake,1,4.8
Collaboration,dbt,1,4.8
Communication,Data Modeling,1,4.8
Communication,Data Quality,1,4.8
Communication,Databricks,1,4.8
Communication,GIS,1,4.8
Communication,Google Sheets,1,4.8
Communication,Hive,1,4.8
Communication,MLOps,1,4.8
Communication,Pandas,1,4.8
Communication,Power BI,1,4.8
Communication,R,1,4.8
Communication,Snowflake,1,4.8
Communication,Spark,1,4.8
Computer Vision,Git,1,4.8
Computer Vision,Statistics,1,4.8
Data Modeling,ETL,1,4.8
Data Modeling,Hive,1,4.8
Data Modeling,Power BI,1,4.8
Data Modeling,Spark,1,4.8
Data Pipelines,Databricks,1,4.8
Data Pipelines,ETL,1,4.8
Data Pipelines,Excel,1,4.8
Data Pipelines,GIS,1,4.8
Data Pipelines,Problem Solving,1,4.8
Data Pipelines,R,1,4.8
Data Pipelines,Snowflake,1,4.8
Data Pipelines,Tableau,1,4.8
Data Quality,ETL,1,4.8
Data Quality,NumPy,1,4.8
Data Quality,Pandas,1,4.8
Data Quality,R,1,4.8
Data Quality,Regression,1,4.8
Data Quality,Scikit-learn,1,4.8
Data Quality,Tableau,1,4.8
Databricks,Excel,1,4.8
Databricks,GIS,1,4.8
Databricks,Problem Solving,1,4.8
Databricks,Python,1,4.8
Databricks,SQL,1,4.8
Databricks,Snowflake,1,4.8
Databricks,Statistics,1,4.8
Deep Learning,Git,1,4.8
Deep Learning,Statistics,1,4.8
ETL,Power BI,1,4.8
ETL,Python,1,4.8
ETL,SQL,1,4.8
ETL,Statistics,1,4.8
ETL,dbt,1,4.8
Excel,GIS,1,4.8
Excel,Google Sheets,1,4.8
Excel,Python,1,4.8
Excel,SQL,1,4.8
Excel,Snowflake,1,4.8
Excel,Statistics,1,4.8
Forecasting,Pandas,1,4.8
GIS,Problem Solving,1,4.8
GIS,Python,1,4.8
GIS,SQL,1,4.8
GIS,Snowflake,1,4.8
GIS,Statistics,1,4.8
Git,NLP,1,4.8
Git,Pandas,1,4.8
Google Sheets,Problem Solving,1,4.8
Hive,Power BI,1,4.8
Hive,R,1,4.8
Hive,Tableau,1,4.8
MLOps,Python,1,4.8
MLOps,SQL,1,4.8
Machine Learning,Pandas,1,4.8
NLP,Statistics,1,4.8
NumPy,Pandas,1,4.8
NumPy,Python,1,4.8
NumPy,Regression,1,4.8
NumPy,SQL,1,4.8
NumPy,Scikit-learn,1,4.8
NumPy,Statistics,1,4.8
Pandas,Regression,1,4.8
Pandas,Scikit-learn,1,4.8
Power BI,R,1,4.8
Power BI,Spark,1,4.8
Power BI,Tableau,1,4.8
Power BI,dbt,1,4.8
Problem Solving,R,1,4.8
Problem Solving,Snowflake,1,4.8
Python,Regression,1,4.8
Python,Scikit-learn,1,4.8
Python,Snowflake,1,4.8
Python,Tableau,1,4.8
R,Spark,1,4.8
R,Tableau,1,4.8
R,dbt,1,4.8
Regression,SQL,1,4.8
Regression,Scikit-learn,1,4.8
Regression,Statistics,1,4.8
SQL,Scikit-learn,1,4.8
SQL,Snowflake,1,4.8
SQL,Tableau,1,4.8
Scikit-learn,Statistics,1,4.8
Snowflake,Statistics,1,4.8
Spark,Tableau,1,4.8
Statistics,Tableau,1,4.8
